Date;Open;High;Low;Close;Adj Close;Volume;
2/01/2018;2.433.000;2.480.000;2.425.000;;2.465.000;0;
3/01/2018;2.451.000;2.465.000;2.440.000;2.447.000;2.447.000;0;
4/01/2018;2.473.000;2.487.000;2.449.000;2.453.000;2.453.000;0;
5/01/2018;null;null;null;2.453.000;2.476.000;null;0
8/01/2018;2.471.000;2.489.000;2.462.000;2.480.000;2.480.000;0;
9/01/2018;2.491.000;2.546.000;2.489.000;2.546.000;2.546.000;0;
10/01/2018;2.584.000;2.595.000;2.550.000;2.550.000;2.550.000;0;
11/01/2018;2.564.000;2.570.000;2.526.000;2.531.000;2.531.000;0;
12/01/2018;2.548.000;2.594.000;2.546.000;2.552.000;2.552.000;0;
16/01/2018;2.539.000;2.563.000;2.526.000;2.544.000;2.544.000;0;
17/01/2018;2.561.000;2.581.000;2.541.000;2.578.000;2.578.000;0;
18/01/2018;2.613.000;2.620.000;2.598.000;2.611.000;2.611.000;0;
19/01/2018;2.626.000;2.646.000;2.613.000;2.637.000;2.637.000;0;
22/01/2018;2.658.000;2.665.000;2.632.000;2.665.000;2.665.000;0;
23/01/2018;2.628.000;2.639.000;2.611.000;2.624.000;2.624.000;0;
24/01/2018;2.652.000;2.663.000;2.634.000;2.654.000;2.654.000;0;
25/01/2018;2.637.000;2.676.000;2.619.000;2.621.000;2.621.000;0;
26/01/2018;2.636.000;2.673.000;2.630.000;2.662.000;2.662.000;0;
29/01/2018;2.720.000;2.725.000;2.694.000;2.699.000;2.699.000;0;
30/01/2018;2.711.000;2.733.000;2.701.000;2.726.000;2.726.000;0;
31/01/2018;2.713.000;2.754.000;2.698.000;2.720.000;2.720.000;0;
1/02/2018;2.743.000;2.776.000;2.722.000;2.773.000;2.773.000;0;
2/02/2018;2.786.000;2.854.000;2.786.000;2.854.000;2.854.000;0;
5/02/2018;2.834.000;2.862.000;2.794.000;2.794.000;2.794.000;0;
6/02/2018;2.738.000;2.787.000;2.736.000;2.768.000;2.768.000;0;
7/02/2018;2.787.000;2.851.000;2.772.000;2.844.000;2.844.000;0;
8/02/2018;2.857.000;2.884.000;2.808.000;2.851.000;2.851.000;0;
9/02/2018;2.831.000;2.862.000;2.788.000;2.829.000;2.829.000;0;
12/02/2018;2.882.000;2.882.000;2.828.000;2.857.000;2.857.000;0;
13/02/2018;2.844.000;2.853.000;2.835.000;2.840.000;2.840.000;0;
14/02/2018;2.819.000;2.913.000;2.817.000;2.913.000;2.913.000;0;
15/02/2018;2.917.000;2.926.000;2.882.000;2.891.000;2.891.000;0;
16/02/2018;2.877.000;2.888.000;2.850.000;2.877.000;2.877.000;0;
20/02/2018;2.902.000;2.915.000;2.890.000;2.893.000;2.893.000;0;
21/02/2018;2.884.000;2.943.000;2.877.000;2.943.000;2.943.000;0;
22/02/2018;2.921.000;2.928.000;2.904.000;2.917.000;2.917.000;0;
23/02/2018;2.884.000;2.893.000;2.862.000;2.871.000;2.871.000;0;
26/02/2018;2.841.000;2.862.000;2.831.000;2.859.000;2.859.000;0;
27/02/2018;2.870.000;2.925.000;2.850.000;2.908.000;2.908.000;0;
28/02/2018;2.881.000;2.897.000;2.868.000;2.868.000;2.868.000;0;
1/03/2018;2.831.000;2.868.000;2.795.000;2.804.000;2.804.000;0;
2/03/2018;2.817.000;2.870.000;2.817.000;2.857.000;2.857.000;0;
5/03/2018;2.842.000;2.895.000;2.830.000;2.881.000;2.881.000;0;
6/03/2018;2.894.000;2.897.000;2.857.000;2.877.000;2.877.000;0;
7/03/2018;2.864.000;2.883.000;2.850.000;2.883.000;2.883.000;0;
8/03/2018;2.885.000;2.888.000;2.848.000;2.866.000;2.866.000;0;
9/03/2018;2.875.000;2.914.000;2.870.000;2.894.000;2.894.000;0;
12/03/2018;2.899.000;2.901.000;2.870.000;2.870.000;2.870.000;0;
13/03/2018;2.866.000;2.872.000;2.830.000;2.848.000;2.848.000;0;
14/03/2018;2.850.000;2.857.000;2.801.000;2.817.000;2.817.000;0;
15/03/2018;2.813.000;2.835.000;2.808.000;2.826.000;2.826.000;0;
16/03/2018;2.823.000;2.859.000;2.823.000;2.848.000;2.848.000;0;
19/03/2018;2.874.000;2.879.000;2.834.000;2.845.000;2.845.000;0;
20/03/2018;2.870.000;2.889.000;2.870.000;2.879.000;2.879.000;0;
21/03/2018;2.903.000;2.936.000;2.870.000;2.907.000;2.907.000;0;
22/03/2018;2.850.000;2.850.000;2.799.000;2.832.000;2.832.000;0;
23/03/2018;2.845.000;2.852.000;2.825.000;2.830.000;2.830.000;0;
26/03/2018;2.854.000;2.854.000;2.819.000;2.843.000;2.843.000;0;
27/03/2018;2.841.000;2.841.000;2.786.000;2.786.000;2.786.000;0;
28/03/2018;2.772.000;2.790.000;2.744.000;2.775.000;2.775.000;0;
29/03/2018;2.768.000;2.775.000;2.739.000;2.741.000;2.741.000;0;
2/04/2018;2.763.000;2.774.000;2.717.000;2.732.000;2.732.000;0;
3/04/2018;2.759.000;2.784.000;2.753.000;2.784.000;2.784.000;0;
4/04/2018;2.757.000;2.795.000;2.748.000;2.788.000;2.788.000;0;
5/04/2018;2.817.000;2.834.000;2.814.000;2.832.000;2.832.000;0;
6/04/2018;2.819.000;2.819.000;2.774.000;2.775.000;2.775.000;0;
9/04/2018;2.790.000;2.812.000;2.786.000;2.786.000;2.786.000;0;
10/04/2018;2.799.000;2.812.000;2.784.000;2.797.000;2.797.000;0;
11/04/2018;2.777.000;2.797.000;2.755.000;2.790.000;2.790.000;0;
12/04/2018;2.792.000;2.838.000;2.792.000;2.834.000;2.834.000;0;
13/04/2018;2.838.000;2.849.000;2.818.000;2.829.000;2.829.000;0;
16/04/2018;2.864.000;2.865.000;2.830.000;2.832.000;2.832.000;0;
17/04/2018;2.838.000;2.841.000;2.814.000;2.814.000;2.814.000;0;
18/04/2018;2.840.000;2.867.000;2.832.000;2.867.000;2.867.000;0;
19/04/2018;2.893.000;2.934.000;2.893.000;2.914.000;2.914.000;0;
20/04/2018;2.917.000;2.953.000;2.916.000;2.951.000;2.951.000;0;
23/04/2018;2.975.000;2.990.000;2.964.000;2.973.000;2.973.000;0;
24/04/2018;2.975.000;3.003.000;2.975.000;2.983.000;2.983.000;0;
25/04/2018;3.032.000;3.035.000;3.007.000;3.024.000;3.024.000;0;
26/04/2018;2.990.000;3.003.000;2.981.000;2.990.000;2.990.000;0;
27/04/2018;2.968.000;2.983.000;2.955.000;2.957.000;2.957.000;0;
30/04/2018;2.955.000;2.959.000;2.935.000;2.936.000;2.936.000;0;
1/05/2018;2.966.000;2.979.000;2.963.000;2.976.000;2.976.000;0;
